"title","id","addr","cate.major","cate.minor","avg.cost","url"
"漿餅屋豆漿","1217522","新北市中和區秀朗路三段128巷1弄2號","早餐","中式早餐",0,"http://www.ipeen.com.tw/shop/1217522-漿餅屋豆漿"
"沒事''早事''坐","1033086","台北市中山區新生北路二段68巷26號","早餐","西式早餐",136,"http://www.ipeen.com.tw/shop/1033086-沒事-早事-坐"
"Lure Late Late Breakfast 鹿耳晚晚早餐","1069122","台南市東區林森路一段153巷19號","早餐","其他類型早餐",152,"http://www.ipeen.com.tw/shop/1069122-Lure-Late-Late-Breakfast-鹿耳晚晚早餐"
"鮮味餡餅","995876","新北市永和區民生路67巷20號","早餐","中式早餐",52,"http://www.ipeen.com.tw/shop/995876-鮮味餡餅"
"拉亞漢堡 Laya Burger(北市杭州)","964356","台北市中正區杭州南路一段14-8號","早餐","西式早餐",70,"http://www.ipeen.com.tw/shop/964356-拉亞漢堡-Laya-Burger-北市杭州"
"海青王家燒餅店","595072","高雄市左營區左營大路2-43號","早餐","中式早餐",33,"http://www.ipeen.com.tw/shop/595072-海青王家燒餅店"
"羅布森咖啡書蟲房","793800","台中市烏日區溪岸路8-3號","早餐","西式早餐",192,"http://www.ipeen.com.tw/shop/793800-羅布森咖啡書蟲房"
"金花碳烤吐司專賣","1138595","台北市萬華區內江街17號","早餐","其他類型早餐",109,"http://www.ipeen.com.tw/shop/1138595-金花碳烤吐司專賣"
"Isaac","604418","韓國 明洞","早餐","西式早餐",97,"http://www.ipeen.com.tw/shop/604418-Isaac"
"倆倆號熱壓吐司(公館店)","1096091","台北市中正區汀州路三段158-1號","早餐","西式早餐",118,"http://www.ipeen.com.tw/shop/1096091-倆倆號熱壓吐司-公館店"
"一心市場蛋餅","944504","台中市北區錦中街90號","早餐","中式早餐",51,"http://www.ipeen.com.tw/shop/944504-一心市場蛋餅"
"Domo Pann多麼胖","99912","台南市東區東興路149號","早餐","西式早餐",130,"http://www.ipeen.com.tw/shop/99912-Domo-Pann多麼胖"
"豐滿早午餐(信義世貿店)","1058462","台北市信義區吳興街138號","早餐","早午餐",150,"http://www.ipeen.com.tw/shop/1058462-豐滿早午餐-信義世貿店"
"Hey 太陽公公早午餐","943096","高雄市三民區大昌一路260號","早餐","西式早餐",216,"http://www.ipeen.com.tw/shop/943096-Hey-太陽公公早午餐"
"丹調 Simple Dan","984778","台中市西區模範街13巷3號","早餐","西式早餐",243,"http://www.ipeen.com.tw/shop/984778-丹調-Simple-Dan"
"Love Toast i 吐司","1021184","台北市信義區莊敬路355號","早餐","西式早餐",112,"http://www.ipeen.com.tw/shop/1021184-Love-Toast-i-吐司"
